listing_id	category_slug	genre	region	category_ordinal	listed_name	prefecture	area_text	tabelog_url	tabelog_id	source_url	category_official_count
HYK2020-0001	bread_tokyo	パン	TOKYO	1	ジャンティーユ	東京都	東京都 目黒駅	https://tabelog.com/tokyo/A1316/A131601/13044382/	13044382	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0002	bread_tokyo	パン	TOKYO	2	リンデ 吉祥寺本店	東京都	東京都 吉祥寺駅	https://tabelog.com/tokyo/A1320/A132001/13005831/	13005831	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0003	bread_tokyo	パン	TOKYO	3	ブーランジェリー・イアナック	東京都	東京都 西日暮里駅	https://tabelog.com/tokyo/A1311/A131105/13048516/	13048516	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0004	bread_tokyo	パン	TOKYO	4	レフェクトワール	東京都	東京都 明治神宮前駅	https://tabelog.com/tokyo/A1306/A130601/13149666/	13149666	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0005	bread_tokyo	パン	TOKYO	5	ル・グルニエ・ア・パン アトレ恵比寿店	東京都	東京都 恵比寿駅	https://tabelog.com/tokyo/A1303/A130302/13194633/	13194633	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0006	bread_tokyo	パン	TOKYO	6	パン オ フゥ	東京都	東京都 五反田駅	https://tabelog.com/tokyo/A1316/A131603/13120288/	13120288	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0007	bread_tokyo	パン	TOKYO	7	ブーランジェリー ボネダンヌ	東京都	東京都 三軒茶屋駅	https://tabelog.com/tokyo/A1317/A131705/13158722/	13158722	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0008	bread_tokyo	パン	TOKYO	8	亀井堂	東京都	東京都 神楽坂駅	https://tabelog.com/tokyo/A1309/A130905/13000473/	13000473	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0009	bread_tokyo	パン	TOKYO	9	セル・オ・ブレ	東京都	東京都 武蔵小山駅	https://tabelog.com/tokyo/A1317/A131710/13044661/	13044661	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0010	bread_tokyo	パン	TOKYO	10	ネモ・ベーカリー＆カフェ 武蔵小山 本店	東京都	東京都 武蔵小山駅	https://tabelog.com/tokyo/A1317/A131710/13045550/	13045550	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0011	bread_tokyo	パン	TOKYO	11	ラトリエ･デュ･パン	東京都	東京都 六本木駅	https://tabelog.com/tokyo/A1307/A130701/13147689/	13147689	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
