award_id	store_id	選定元	選定シリーズ	ランク・区分	公式ジャンル	年度	地域区分	掲載名	掲載時地域	出典URL	出典確認日	照合状態	備考
HYK2020-0001	FOD-0822	食べログ	食べログ 百名店	百名店	パン	2020	TOKYO	ブランジュリー パリの空の下	東京都	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	46232	店舗照合済	食べログ パン TOKYO 百名店 2020 / 公式掲載順 1/100 / Tabelog ID 13100024
HYK2020-0002	FOD-0823	食べログ	食べログ 百名店	百名店	パン	2020	TOKYO	イエンセン	東京都	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	46232	店舗照合済	食べログ パン TOKYO 百名店 2020 / 公式掲載順 2/100 / Tabelog ID 13007309
HYK2020-0003	FOD-0824	食べログ	食べログ 百名店	百名店	パン	2020	TOKYO	ファクトリー	東京都	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	46232	店舗照合済	食べログ パン TOKYO 百名店 2020 / 公式掲載順 3/100 / Tabelog ID 13093265
HYK2020-0004	FOD-0825	食べログ	食べログ 百名店	百名店	パン	2020	TOKYO	パネッテリア・アリエッタ 五反田本店	東京都	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	46232	店舗照合済	食べログ パン TOKYO 百名店 2020 / 公式掲載順 4/100 / Tabelog ID 13019888
HYK2020-0005	FOD-0775	食べログ	食べログ 百名店	百名店	パン	2020	TOKYO	ラトリエ ドゥ プレジール	東京都	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	46232	店舗照合済	食べログ パン TOKYO 百名店 2020 / 公式掲載順 5/100 / Tabelog ID 13050412
HYK2020-0006	FOD-0826	食べログ	食べログ 百名店	百名店	パン	2020	TOKYO	ブーランジェリー セイジアサクラ	東京都	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	46232	店舗照合済	食べログ パン TOKYO 百名店 2020 / 公式掲載順 6/100 / Tabelog ID 13055881
HYK2020-0007	FOD-0827	食べログ	食べログ 百名店	百名店	パン	2020	TOKYO	ジャン・フランソワ Echika表参道	東京都	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	46232	店舗照合済	食べログ パン TOKYO 百名店 2020 / 公式掲載順 7/100 / Tabelog ID 13020396
HYK2020-0008	FOD-0828	食べログ	食べログ 百名店	百名店	パン	2020	TOKYO	ラ ブティック ドゥ ジョエル・ロブション 丸の内ブリックスクエア店	東京都	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	46232	店舗照合済	食べログ パン TOKYO 百名店 2020 / 公式掲載順 8/100 / Tabelog ID 13096409
HYK2020-0009	FOD-0829	食べログ	食べログ 百名店	百名店	パン	2020	TOKYO	365日	東京都	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	46232	店舗照合済	食べログ パン TOKYO 百名店 2020 / 公式掲載順 9/100 / Tabelog ID 13164031
HYK2020-0010	FOD-0830	食べログ	食べログ 百名店	百名店	パン	2020	TOKYO	パンとエスプレッソと	東京都	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	46232	店舗照合済	食べログ パン TOKYO 百名店 2020 / 公式掲載順 10/100 / Tabelog ID 13090477
HYK2020-0011	FOD-0831	食べログ	食べログ 百名店	百名店	パン	2020	TOKYO	リンデ 吉祥寺本店	東京都	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	46232	店舗照合済	食べログ パン TOKYO 百名店 2020 / 公式掲載順 11/100 / Tabelog ID 13005831
HYK2020-0012	FOD-0832	食べログ	食べログ 百名店	百名店	パン	2020	TOKYO	ブーランジェリー スドウ	東京都	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	46232	店舗照合済	食べログ パン TOKYO 百名店 2020 / 公式掲載順 12/100 / Tabelog ID 13098861
HYK2020-0013	FOD-0833	食べログ	食べログ 百名店	百名店	パン	2020	TOKYO	AOSAN	東京都	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	46232	店舗照合済	食べログ パン TOKYO 百名店 2020 / 公式掲載順 13/100 / Tabelog ID 13047751
HYK2020-0014	FOD-0834	食べログ	食べログ 百名店	百名店	パン	2020	TOKYO	シニフィアン シニフィエ 日本橋タカシマヤ店	東京都	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	46232	店舗照合済	食べログ パン TOKYO 百名店 2020 / 公式掲載順 14/100 / Tabelog ID 13054419
HYK2020-0015	FOD-0835	食べログ	食べログ 百名店	百名店	パン	2020	TOKYO	パン・デ・フィロゾフ	東京都	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	46232	店舗照合済	食べログ パン TOKYO 百名店 2020 / 公式掲載順 15/100 / Tabelog ID 13213156
HYK2020-0016	FOD-0836	食べログ	食べログ 百名店	百名店	パン	2020	TOKYO	エスプリ・ド・ビゴ	東京都	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	46232	店舗照合済	食べログ パン TOKYO 百名店 2020 / 公式掲載順 16/100 / Tabelog ID 13003252
HYK2020-0017	FOD-0837	食べログ	食べログ 百名店	百名店	パン	2020	TOKYO	モンシェール 東陽町工場	東京都	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	46232	店舗照合済	食べログ パン TOKYO 百名店 2020 / 公式掲載順 17/100 / Tabelog ID 13024396
HYK2020-0018	FOD-0838	食べログ	食べログ 百名店	百名店	パン	2020	TOKYO	マルイチベーグル	東京都	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	46232	店舗照合済	食べログ パン TOKYO 百名店 2020 / 公式掲載順 18/100 / Tabelog ID 13010793
HYK2020-0019	FOD-0839	食べログ	食べログ 百名店	百名店	パン	2020	TOKYO	ル・グルニエ・ア・パン アトレ恵比寿店	東京都	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	46232	店舗照合済	食べログ パン TOKYO 百名店 2020 / 公式掲載順 19/100 / Tabelog ID 13194633
