store_id	正式店名	店名かな	別名・旧名	施設区分	大ジャンル	小ジャンル	都道府県	市区町村	住所	緯度	経度	最寄駅・交通	電話番号	公式URL	食べログURL	GoogleマップURL	営業状態	予約区分	昼予算	夜予算	最終確認日	確認状態	備考
FOD-0822	ブランジュリー パリの空の下			飲食店	パン	食べログ パン 百名店 2020	東京都					東京都 若林駅			https://tabelog.com/tokyo/A1317/A131709/13100024/		未確認				46232	店舗照合済	食べログ 百名店 2020 / パン TOKYO / Tabelog ID 13100024 / https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
FOD-0823	イエンセン			飲食店	パン	食べログ パン 百名店 2020	東京都					東京都 代々木八幡駅			https://tabelog.com/tokyo/A1318/A131810/13007309/		未確認				46232	店舗照合済	食べログ 百名店 2020 / パン TOKYO / Tabelog ID 13007309 / https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
FOD-0824	ファクトリー			飲食店	パン	食べログ パン 百名店 2020	東京都					東京都 市ケ谷駅			https://tabelog.com/tokyo/A1309/A130904/13093265/		未確認				46232	店舗照合済	食べログ 百名店 2020 / パン TOKYO / Tabelog ID 13093265 / https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
FOD-0825	パネッテリア・アリエッタ 五反田本店			飲食店	パン	食べログ パン 百名店 2020	東京都					東京都 五反田駅			https://tabelog.com/tokyo/A1316/A131603/13019888/		未確認				46232	店舗照合済	食べログ 百名店 2020 / パン TOKYO / Tabelog ID 13019888 / https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
FOD-0826	ブーランジェリー セイジアサクラ			飲食店	パン	食べログ パン 百名店 2020	東京都					東京都 高輪台駅			https://tabelog.com/tokyo/A1316/A131603/13055881/		未確認				46232	店舗照合済	食べログ 百名店 2020 / パン TOKYO / Tabelog ID 13055881 / https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
FOD-0827	ジャン・フランソワ Echika表参道			飲食店	パン	食べログ パン 百名店 2020	東京都					東京都 表参道駅			https://tabelog.com/tokyo/A1306/A130602/13020396/		未確認				46232	店舗照合済	食べログ 百名店 2020 / パン TOKYO / Tabelog ID 13020396 / https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
FOD-0828	ラ ブティック ドゥ ジョエル・ロブション 丸の内ブリックスクエア店			飲食店	パン	食べログ パン 百名店 2020	東京都					東京都 二重橋前駅			https://tabelog.com/tokyo/A1302/A130201/13096409/		未確認				46232	店舗照合済	食べログ 百名店 2020 / パン TOKYO / Tabelog ID 13096409 / https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
FOD-0829	365日			飲食店	パン	食べログ パン 百名店 2020	東京都					東京都 代々木公園駅			https://tabelog.com/tokyo/A1318/A131810/13164031/		未確認				46232	店舗照合済	食べログ 百名店 2020 / パン TOKYO / Tabelog ID 13164031 / https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
FOD-0830	パンとエスプレッソと			飲食店	パン	食べログ パン 百名店 2020	東京都					東京都 表参道駅			https://tabelog.com/tokyo/A1306/A130602/13090477/		未確認				46232	店舗照合済	食べログ 百名店 2020 / パン TOKYO / Tabelog ID 13090477 / https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
FOD-0831	リンデ 吉祥寺本店			飲食店	パン	食べログ パン 百名店 2020	東京都					東京都 吉祥寺駅			https://tabelog.com/tokyo/A1320/A132001/13005831/		未確認				46232	店舗照合済	食べログ 百名店 2020 / パン TOKYO / Tabelog ID 13005831 / https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
FOD-0832	ブーランジェリー スドウ			飲食店	パン	食べログ パン 百名店 2020	東京都					東京都 松陰神社前駅			https://tabelog.com/tokyo/A1317/A131709/13098861/		未確認				46232	店舗照合済	食べログ 百名店 2020 / パン TOKYO / Tabelog ID 13098861 / https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
FOD-0833	AOSAN			飲食店	パン	食べログ パン 百名店 2020	東京都					東京都 仙川駅			https://tabelog.com/tokyo/A1326/A132601/13047751/		未確認				46232	店舗照合済	食べログ 百名店 2020 / パン TOKYO / Tabelog ID 13047751 / https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
FOD-0834	シニフィアン シニフィエ 日本橋タカシマヤ店			飲食店	パン	食べログ パン 百名店 2020	東京都					東京都 日本橋駅			https://tabelog.com/tokyo/A1302/A130202/13054419/		未確認				46232	店舗照合済	食べログ 百名店 2020 / パン TOKYO / Tabelog ID 13054419 / https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
FOD-0835	パン・デ・フィロゾフ			飲食店	パン	食べログ パン 百名店 2020	東京都					東京都 神楽坂駅			https://tabelog.com/tokyo/A1309/A130905/13213156/		未確認				46232	店舗照合済	食べログ 百名店 2020 / パン TOKYO / Tabelog ID 13213156 / https://award.tabelog.com/hyakumeiten/bread_tokyo/2020
