tabelog_id	store_id	match_method
3001022	FOD-0064	name_pref
7000007	FOD-0011	name_pref
12000422	FOD-0450	tid
13001113	FOD-0667	tid
13001625	FOD-0472	name_pref
13001794	FOD-0617	tid
13002285	FOD-0374	name_pref
13003075	FOD-0751	tid
13003776	FOD-0569	tid
13003777	FOD-0002	name_pref
13005008	FOD-0750	tid
13005853	FOD-0354	name_pref
13012243	FOD-0385	name_pref
13042979	FOD-0329	name_pref
13050412	FOD-0775	tid
13110601	FOD-0752	tid
13111737	FOD-0740	tid
13120294	FOD-0431	name_pref
13127046	FOD-0548	tid
13137010	FOD-0692	tid
13141364	FOD-0455	name_pref
13158580	FOD-0489	tid
13159782	FOD-0466	name_pref
13160962	FOD-0325	name_pref
13162681	FOD-0649	tid
13165294	FOD-0681	tid
13167325	FOD-0749	tid
13175110	FOD-0618	tid
13178309	FOD-0739	tid
13203027	FOD-0456	name_pref
13209611	FOD-0387	name_pref
13211927	FOD-0245	manual_same_store_name_variant
13216529	FOD-0551	tid
13222093	FOD-0386	name_pref
13223460	FOD-0549	tid
13224635	FOD-0235	name_pref
13226719	FOD-0748	tid
14035784	FOD-0580	tid
14038776	FOD-0770	tid
26000658	FOD-0528	tid
26001669	FOD-0145	name_pref
26001672	FOD-0274	name_pref
27011240	FOD-0298	name_pref
27052134	FOD-0682	tid
27073555	FOD-0719	tid
28031755	FOD-0768	tid
30000653	FOD-0820	tid
37000007	FOD-0023	name_pref
37000011	FOD-0021	tid
37000015	FOD-0486	tid
37000143	FOD-0581	tid
40035804	FOD-0615	tid
45000273	FOD-0733	tid
